time,open,high,low,close,Volume,Volume MA
1625679000,4352.6,4357.23,4351.47,4353.73,NaN,NaN
1625680800,4353.82,4361.71,4353.82,4357.49,NaN,NaN
1625682600,4357.52,4360.09,4352.07,4359.44,NaN,NaN
1625684400,4359.42,4361.61,4358.43,4359.44,NaN,NaN
1625686200,4359.43,4361.88,4355.93,4357.76,NaN,NaN
1625688000,4358.78,4358.78,4358.13,4358.14,NaN,NaN
1625751000,4300.61,4307.58,4289.38,4307.58,NaN,NaN
1625752800,4307.77,4307.77,4289.37,4302.6,NaN,NaN
1625754600,4302.72,4304.68,4293.02,4294.61,NaN,NaN
1625756400,4294.82,4313.71,4293.99,4313.2,NaN,NaN
1625758200,4313.03,4324.6,4309.04,4322.71,NaN,NaN
1625760000,4322.77,4325.81,4320.65,4325.01,NaN,NaN
1625761800,4325.02,4330.88,4324.78,4329.54,NaN,NaN
1625763600,4329.58,4329.87,4322.36,4327.54,NaN,NaN
1625765400,4327.58,4329.31,4322.83,4323.45,NaN,NaN
1625767200,4323.49,4323.91,4313.84,4314.92,NaN,NaN
1625769000,4314.93,4318.18,4312.02,4316.18,NaN,NaN
1625770800,4316.23,4319.38,4309.81,4315.28,NaN,NaN
1625772600,4315.56,4322.03,4305.4,4322.03,NaN,NaN
1625774400,4321.97,4321.97,4320.82,4320.83,NaN,NaN
1625837400,4338.56,4350.11,4338.53,4349.83,NaN,NaN
1625839200,4349.78,4357.32,4349.78,4355.4,NaN,NaN
1625841000,4355.41,4357.95,4353.39,4354.25,NaN,NaN
1625842800,4354.28,4362.27,4354.28,4361.54,NaN,NaN
1625844600,4361.47,4365.89,4360.52,4361.1,NaN,NaN
1625846400,4361.15,4363.37,4359.99,4360.4,NaN,NaN
1625848200,4360.47,4364.76,4359.98,4362.05,NaN,NaN
1625850000,4362.1,4362.92,4360.1,4362.27,NaN,NaN
1625851800,4362.31,4363.83,4361.32,4363.76,NaN,NaN
1625853600,4363.77,4366.11,4363.5,4365.6,NaN,NaN
1625855400,4365.6,4369.99,4365.14,4369.34,NaN,NaN
1625857200,4369.41,4370.52,4367.89,4369.14,NaN,NaN
1625859000,4369.02,4371.6,4366.52,4368.94,NaN,NaN
1625860800,4369.27,4369.57,4369.14,4369.54,NaN,NaN
1626096600,4372.41,4373.11,4364.03,4373.11,NaN,NaN
1626098400,4373.48,4378.41,4370.72,4378.14,NaN,NaN
1626100200,4378.22,4381.46,4378.22,4380.16,NaN,NaN
1626102000,4380.16,4380.55,4377.01,4377.44,NaN,NaN
1626103800,4377.51,4380.14,4374.77,4380.13,NaN,NaN
1626105600,4379.82,4381.11,4378.55,4378.83,NaN,NaN
1626107400,4378.82,4380.23,4378,4379.43,NaN,NaN
1626109200,4379.43,4380.62,4378.65,4380.57,NaN,NaN
1626111000,4380.6,4381.46,4377.74,4379.19,NaN,NaN
1626112800,4379.2,4383.26,4378.95,4383.15,NaN,NaN
1626114600,4383.17,4384.93,4381.27,4382.46,NaN,NaN
1626116400,4382.45,4385.57,4381.28,4385.25,NaN,NaN
1626118200,4385.27,4386.68,4382.49,4384.02,NaN,NaN
1626120000,4384.79,4384.82,4384.58,4384.64,NaN,NaN
1626183000,4377.6,4384.87,4376.83,4381.62,NaN,NaN
1626184800,4381.73,4385.89,4380.2,4385.23,NaN,NaN
1626186600,4385.26,4388.71,4382.52,4383.21,NaN,NaN
1626188400,4383.19,4391.84,4383.19,4390.77,NaN,NaN
1626190200,4390.22,4391.59,4389.05,4391.59,NaN,NaN
1626192000,4391.57,4392.37,4388.22,4388.66,NaN,NaN
1626193800,4388.65,4390.29,4388.12,4388.95,NaN,NaN
1626195600,4388.98,4389.25,4376.05,4378.85,NaN,NaN
1626197400,4378.76,4379.68,4371.77,4378.86,NaN,NaN
1626199200,4378.87,4379.16,4369.61,4378.32,NaN,NaN
